date,close,high,low,open
2015-01-02 00:00:00+00:00,205.43,206.88,204.18,206.38
2015-01-05 00:00:00+00:00,201.72,204.37,201.35,204.17
2015-01-06 00:00:00+00:00,199.82,202.72,198.86,202.09
2015-01-07 00:00:00+00:00,202.31,202.72,200.88,201.42
2015-01-08 00:00:00+00:00,205.9,206.16,203.99,204.01
2015-01-09 00:00:00+00:00,204.25,206.42,203.51,206.4
2015-01-12 00:00:00+00:00,202.65,204.6,201.92,204.41
2015-01-13 00:00:00+00:00,202.08,205.48,200.51,204.12
2015-01-14 00:00:00+00:00,200.86,201.1,198.57,199.65
2015-01-15 00:00:00+00:00,199.02,202.01,198.88,201.63
2015-01-16 00:00:00+00:00,201.63,201.82,198.55,198.77
2015-01-20 00:00:00+00:00,202.06,202.72,200.17,202.4
2015-01-21 00:00:00+00:00,203.08,203.66,200.94,201.5
2015-01-22 00:00:00+00:00,206.1,206.26,202.33,203.99
2015-01-23 00:00:00+00:00,204.97,206.1,204.81,205.79
2015-01-26 00:00:00+00:00,205.45,205.56,203.85,204.71
2015-01-27 00:00:00+00:00,202.74,204.12,201.74,202.97
2015-01-28 00:00:00+00:00,200.14,204.29,199.91,204.17
2015-01-29 00:00:00+00:00,201.99,202.3,198.68,200.38
2015-01-30 00:00:00+00:00,199.45,202.17,199.13,200.57
2015-02-02 00:00:00+00:00,201.92,202.03,197.86,200.05
2015-02-03 00:00:00+00:00,204.84,204.85,202.55,203.0
2015-02-04 00:00:00+00:00,204.06,205.38,203.51,203.92
2015-02-05 00:00:00+00:00,206.12,206.3,204.77,204.86
2015-02-06 00:00:00+00:00,205.55,207.24,204.92,206.56
2015-02-09 00:00:00+00:00,204.63,205.64,204.14,204.77
2015-02-10 00:00:00+00:00,206.81,207.12,204.68,205.88
2015-02-11 00:00:00+00:00,206.93,207.45,205.83,206.61
2015-02-12 00:00:00+00:00,208.92,208.99,206.97,207.89
2015-02-13 00:00:00+00:00,209.78,209.84,208.76,209.07
2015-02-17 00:00:00+00:00,210.11,210.32,209.1,209.4
2015-02-18 00:00:00+00:00,210.13,210.22,209.34,209.66
2015-02-19 00:00:00+00:00,209.98,210.42,209.24,209.41
2015-02-20 00:00:00+00:00,211.24,211.33,208.73,209.48
